# benders_position_y_set	index0_set	index1_set	daq_ai_voltage
# "y position"	"index0"	"index1"	"Voltage"
# 50	4	50
-1.5	2	11	0.0074176553920342
-1.5	2	12	0.00738050693763014
-1.5	2	13	0.00738726705498227
-1.5	2	14	0.00740754740703857
-1.5	2	15	0.00736151422696875
-1.5	2	16	0.00739801886067314
-1.5	2	17	0.0073942847006158
-1.5	2	18	0.00739055054055183
-1.5	2	19	0.00739692436548261
-1.5	2	20	0.00734271466252109
-1.5	2	21	0.00738984233778095
-1.5	2	22	0.00737619333893532
-1.5	2	23	0.00736750175948339
-1.5	2	24	0.00739608739857269
-1.5	2	25	0.00736093478834142
-1.5	2	26	0.00738591503150919
-1.5	2	27	0.00738475615424789
-1.5	2	28	0.00737818918310604
-1.5	2	29	0.00742364292454374
-1.5	2	30	0.00736627850014973
-1.5	2	31	0.00739505728545404
-1.5	2	32	0.00736956198572283
-1.5	2	33	0.00735559107652881
-1.5	2	34	0.00737999188106467
-1.5	2	35	0.00737400434855547
-1.5	2	36	0.00737915491415983
-1.5	2	37	0.00736293063250914
-1.5	2	38	0.00737670839549532
-1.5	2	39	0.00739267514886216
-1.5	2	40	0.00734612691223455
-1.5	2	41	0.00739331896956177
-1.5	2	42	0.00737735221619649
-1.5	2	43	0.00734599814809315
-1.5	2	44	0.00738391918733896
-1.5	2	45	0.00735758692069948
-1.5	2	46	0.00737522760788603
-1.5	2	47	0.00737136468368463
-1.5	2	48	0.0073716865940349
-1.5	2	49	0.00736666479257257

-1.5	3	0	-0.397309062433594
-1.5	3	1	-0.391316830114818
-1.5	3	2	-0.385322988275161
-1.5	3	3	-0.379342988610085
-1.5	3	4	-0.373337429292808
-1.5	3	5	-0.367343330011603
-1.5	3	6	-0.36134729929537
-1.5	3	7	-0.355351139841037
-1.5	3	8	-0.349341782087995
-1.5	3	9	-0.34334729661654
-1.5	3	10	-0.33737772702785
-1.5	3	11	-0.331372940470889
-1.5	3	12	-0.325390558894095
-1.5	3	13	-0.31938577237848
-1.5	3	14	-0.313376736665823
-1.5	3	15	-0.30738553480355
-1.5	3	16	-0.301373988225899
-1.5	3	17	-0.295409504954112
-1.5	3	18	-0.289405491109659
-1.5	3	19	-0.283391047385097
-1.5	3	20	-0.277409631673051
-1.5	3	21	-0.271405939779057
-1.5	3	22	-0.265406819023047
-1.5	3	23	-0.259394306808112
-1.5	3	24	-0.253415659568399
-1.5	3	25	-0.247410808837055
-1.5	3	26	-0.241400034963356
-1.5	3	27	-0.2354291779758
-1.5	3	28	-0.229424069735807
-1.5	3	29	-0.223422502513911
-1.5	3	30	-0.217436451372978
-1.5	3	31	-0.211444863377193
-1.5	3	32	-0.20543260874061
-1.5	3	33	-0.19941829387867
-1.5	3	34	-0.193432950945094
-1.5	3	35	-0.187434667215444
-1.5	3	36	-0.181429558984783
-1.5	3	37	-0.175440996941288
-1.5	3	38	-0.16944580354103
-1.5	3	39	-0.163426016187188
-1.5	3	40	-0.157430758393536
-1.5	3	41	-0.151446896218082
-1.5	3	42	-0.145456273917837
-1.5	3	43	-0.139442667211613
-1.5	3	44	-0.133460221414419
-1.5	3	45	-0.127455628176084
-1.5	3	46	-0.12145103492571
-1.5	3	47	-0.115463502909499
-1.5	3	48	-0.109464253343576
-1.5	3	49	-0.103464038031717


-1.43877551020408	0	0	-1.47446065218883
-1.43877551020408	0	1	-1.41424177301724
-1.43877551020408	0	2	-1.3539570506885
-1.43877551020408	0	3	-1.29370775751844
-1.43877551020408	0	4	-1.2337744702109
-1.43877551020408	0	5	-1.17350589715636
-1.43877551020408	0	6	-1.11323527983303
-1.43877551020408	0	7	-1.05295772421343
-1.43877551020408	0	8	-0.992691127545823
-1.43877551020408	0	9	-0.93240786889797
-1.43877551020408	0	10	-0.87213151114515
-1.43877551020408	0	11	-0.811904738641882
-1.43877551020408	0	12	-0.751663232648813
-1.43877551020408	0	13	-0.691417228935247
-1.43877551020408	0	14	-0.631200269587053
-1.43877551020408	0	15	-0.570967350528752
-1.43877551020408	0	16	-0.510746476981221
-1.43877551020408	0	17	-0.450510221192024
-1.43877551020408	0	18	-0.39030609614266
-1.43877551020408	0	19	-0.330094763398874
-1.43877551020408	0	20	-0.269930174145463
-1.43877551020408	0	21	-0.20973803049203
-1.43877551020408	0	22	-0.149536036521567
-1.43877551020408	0	23	-0.0893437633957306
-1.43877551020408	0	24	-0.0291675195718497
