# benders_position_x_set	index0_set	index1_set	daq_ai_voltage
# "x position"	"index0"	"index1"	"Voltage"
# 50	4	50
-1.5	2	46	0.0130798653200732
-1.5	2	47	0.0132265920584883
-1.5	2	48	0.0133256116827302
-1.5	2	49	0.0135166332856171

-1.5	3	0	-0.397314534909475
-1.5	3	1	-0.391311100110682
-1.5	3	2	-0.385317258271041
-1.5	3	3	-0.379350778840352
-1.5	3	4	-0.373340777160357
-1.5	3	5	-0.367332706970432
-1.5	3	6	-0.361349874578072
-1.5	3	7	-0.355354616472661
-1.5	3	8	-0.349351954454556
-1.5	3	9	-0.343361975727733
-1.5	3	10	-0.337373349047348
-1.5	3	11	-0.331365150240895
-1.5	3	12	-0.325383541248902
-1.5	3	13	-0.31937405484252
-1.5	3	14	-0.313374225765267
-1.5	3	15	-0.307365383217096
-1.5	3	16	-0.301367163726995
-1.5	3	17	-0.295402744837289
-1.5	3	18	-0.289394224248323
-1.5	3	19	-0.283389437833476
-1.5	3	20	-0.277405833131248
-1.5	3	21	-0.271405360340478
-1.5	3	22	-0.265402762952994
-1.5	3	23	-0.259406732546499
-1.5	3	24	-0.253426797665484
-1.5	3	25	-0.247401988494287
-1.5	3	26	-0.241383295626734
-1.5	3	27	-0.235418168642877
-1.5	3	28	-0.229414991864809
-1.5	3	29	-0.22341104250656
-1.5	3	30	-0.217422802375468
-1.5	3	31	-0.211431665054133
-1.5	3	32	-0.205434282674266
-1.5	3	33	-0.199423766354084
-1.5	3	34	-0.193444089042115
-1.5	3	35	-0.187448766887398
-1.5	3	36	-0.181426275499531
-1.5	3	37	-0.175448722788945
-1.5	3	38	-0.169446447361669
-1.5	3	39	-0.163436510463603
-1.5	3	40	-0.157437840420571
-1.5	3	41	-0.151475417472456
-1.5	3	42	-0.145488786860235
-1.5	3	43	-0.139479043077915
-1.5	3	44	-0.13351114762733
-1.5	3	45	-0.12750030932884
-1.5	3	46	-0.121486638207436
-1.5	3	47	-0.115489706409866
-1.5	3	48	-0.109505908539572
-1.5	3	49	-0.103490756588733


-1.43877551020408	0	0	-1.44295118415579
-1.43877551020408	0	1	-1.44298144383115
-1.43877551020408	0	2	-1.44300552280688
-1.43877551020408	0	3	-1.44302940863575
-1.43877551020408	0	4	-1.44305928201741
-1.43877551020408	0	5	-1.44308001311417
-1.43877551020408	0	6	-1.44310608794084
-1.43877551020408	0	7	-1.44311677540067
-1.43877551020408	0	8	-1.44312945871142
-1.43877551020408	0	9	-1.44317652216402
-1.43877551020408	0	10	-1.44319442044012
-1.43877551020408	0	11	-1.44322158976571
-1.43877551020408	0	12	-1.44324895223816
-1.43877551020408	0	13	-1.44327618594605
-1.43877551020408	0	14	-1.44330284021334
-1.43877551020408	0	15	-1.44332885065775
-1.43877551020408	0	16	-1.44336175000701
-1.43877551020408	0	17	-1.44337694422702
-1.43877551020408	0	18	-1.4433978040884
-1.43877551020408	0	19	-1.44342400767969
-1.43877551020408	0	20	-1.44343855807682
-1.43877551020408	0	21	-1.44347274507187
-1.43877551020408	0	22	-1.44349457066757
-1.43877551020408	0	23	-1.44350989365217
-1.43877551020408	0	24	-1.44353635477264
-1.43877551020408	0	25	-1.44358850442612
-1.43877551020408	0	26	-1.4436083985532
-1.43877551020408	0	27	-1.44363653361317
-1.43877551020408	0	28	-1.44366202899933
-1.43877551020408	0	29	-1.44367986289318
